f0           	 log10(rhophA) 	 log10(rhophB)
-2.70000000 	 -4.91047707 	 -4.91047669
-2.77142857 	 -4.97034815 	 -4.97034778
-2.84285714 	 -5.02411347 	 -5.02411312
-2.91428571 	 -5.07204715 	 -5.07204682
-2.98571429 	 -5.11450422 	 -5.11450390
-3.05714286 	 -5.15189367 	 -5.15189338
-3.12857143 	 -5.18465217 	 -5.18465190
-3.20000000 	 -5.21322486 	 -5.21322461
-3.27142857 	 -5.23804932 	 -5.23804910
-3.34285714 	 -5.25954380 	 -5.25954341
-3.41428571 	 -5.27810027 	 -5.27809993
-3.48571429 	 -5.29407963 	 -5.29407933
-3.55714286 	 -5.30780979 	 -5.30780946
-3.62857143 	 -5.31958480 	 -5.31958451
-3.70000000 	 -5.32966745 	 -5.32966720
-3.72051282 	 -5.33228342 	 -5.33228318
-3.74102564 	 -5.33478411 	 -5.33478388
-3.76153846 	 -5.33717458 	 -5.33717416
-3.78205128 	 -5.33945880 	 -5.33945840
-3.80256410 	 -5.34164204 	 -5.34164166
-3.82307692 	 -5.34372846 	 -5.34372809
-3.84358974 	 -5.34572171 	 -5.34572136
-3.86410256 	 -5.34762615 	 -5.34762581
-3.88461538 	 -5.34944546 	 -5.34944514
-3.90512821 	 -5.35118376 	 -5.35118345
-3.92564103 	 -5.35284404 	 -5.35284374
-3.94615385 	 -5.35442963 	 -5.35442939
-3.96666667 	 -5.35594444 	 -5.35594421
-3.98717949 	 -5.35739080 	 -5.35739058
-4.00769231 	 -5.35877234 	 -5.35877191
-4.02820513 	 -5.36009164 	 -5.36009123
-4.04871795 	 -5.36135111 	 -5.36135071
-4.06923077 	 -5.36255419 	 -5.36255382
-4.08974359 	 -5.36370237 	 -5.36370201
-4.11025641 	 -5.36479873 	 -5.36479838
-4.13076923 	 -5.36584566 	 -5.36584539
-4.15128205 	 -5.36684508 	 -5.36684482
-4.17179487 	 -5.36779891 	 -5.36779867
-4.19230769 	 -5.36870975 	 -5.36870952
-4.21282051 	 -5.36957901 	 -5.36957878
-4.23333333 	 -5.37040913 	 -5.37040870
-4.25384615 	 -5.37120082 	 -5.37120041
-4.27435897 	 -5.37195719 	 -5.37195681
-4.29487179 	 -5.37267867 	 -5.37267830
-4.31538462 	 -5.31581232 	 -5.31581208
-4.33589744 	 -5.37402445 	 -5.37402419
-4.35641026 	 -5.37465164 	 -5.37465138
-4.37692308 	 -5.33098996 	 -5.33098974
-4.39743590 	 -5.33228507 	 -5.33228465
-4.41794872 	 -5.33352035 	 -5.33351994
-4.43846154 	 -5.33469781 	 -5.33469743
-4.45897436 	 -5.33582047 	 -5.33582018
-4.47948718 	 -5.33689124 	 -5.33689096
-4.50000000 	 -5.33791218 	 -5.33791192
