f0           	 log10(rhophA) 	 log10(rhophB)
-0.00100000 	 0.23201877  	 0.23201913 
-0.04644444 	 -0.21673221 	 -0.21673185
-0.09188889 	 -0.32895304 	 -0.32895268
-0.13733333 	 -0.41167342 	 -0.41167306
-0.18277778 	 -0.48232390 	 -0.48232354
-0.22822222 	 -0.54641852 	 -0.54641816
-0.27366667 	 -0.60642434 	 -0.60642398
-0.31911111 	 -0.66366195 	 -0.66366158
-0.36455556 	 -0.71892284 	 -0.71892248
-0.41000000 	 -0.77272137 	 -0.77272100
-0.45544444 	 -0.82541133 	 -0.82541096
-0.50088889 	 -0.87724801 	 -0.87724765
-0.54633333 	 -0.92842423 	 -0.92842386
-0.59177778 	 -0.97908959 	 -0.97908922
-0.63722222 	 -1.02936427 	 -1.02936390
-0.68266667 	 -1.07934870 	 -1.07934833
-0.72811111 	 -1.12912750 	 -1.12912713
-0.77355556 	 -1.17877590 	 -1.17877552
-0.81900000 	 -1.22836186 	 -1.22836149
-0.86444444 	 -1.27794845 	 -1.27794807
-0.90988889 	 -1.32759626 	 -1.32759588
-0.95533333 	 -1.37736482 	 -1.37736444
-1.00077778 	 -1.42731427 	 -1.42731388
-1.04622222 	 -1.47750713 	 -1.47750675
-1.09166667 	 -1.52800794 	 -1.52800755
-1.13711111 	 -1.57888731 	 -1.57888691
-1.18255556 	 -1.63022209 	 -1.63022169
-1.22800000 	 -1.68209624 	 -1.68209583
-1.27344444 	 -1.73460447 	 -1.73460406
-1.31888889 	 -1.78785471 	 -1.78785429
-1.36433333 	 -1.84196894 	 -1.84196851
-1.40977778 	 -1.89708766 	 -1.89708744
-1.45522222 	 -1.95337399 	 -1.95337376
-1.50066667 	 -2.01101692 	 -2.01101669
-1.54611111 	 -2.07023438 	 -2.07023414
-1.59155556 	 -2.13127271 	 -2.13127246
-1.63700000 	 -2.19439664 	 -2.19439638
-1.68244444 	 -2.25984262 	 -2.25984235
-1.72788889 	 -2.32770269 	 -2.32770241
-1.77333333 	 -2.39775672 	 -2.39775642
-1.81877778 	 -2.46950238 	 -2.46950206
-1.86422222 	 -2.54239659 	 -2.54239625
-1.90966667 	 -2.61598010 	 -2.61597974
-1.95511111 	 -2.68987059 	 -2.68987020
-2.00055556 	 -2.76373474 	 -2.76373433
-2.04600000 	 -2.83727005 	 -2.83726972
-2.09144444 	 -2.91019379 	 -2.91019344
-2.13688889 	 -2.98223791 	 -2.98223754
-2.18233333 	 -3.05314718 	 -3.05314679
-2.22777778 	 -3.12267838 	 -3.12267797
-2.27322222 	 -3.19060129 	 -3.19060107
-2.31866667 	 -3.25670221 	 -3.25670198
-2.36411111 	 -3.32078355 	 -3.32078331
-2.40955556 	 -3.38266839 	 -3.38266814
-2.45500000 	 -3.44220213 	 -3.44220187
-2.50044444 	 -3.49925496 	 -3.49925470
-2.54588889 	 -3.55372305 	 -3.55372278
-2.59133333 	 -3.60552960 	 -3.60552932
-2.63677778 	 -3.65462553 	 -3.65462526
-2.68222222 	 -3.70098794 	 -3.70098766
-2.72766667 	 -3.74461971 	 -3.74461944
-2.77311111 	 -3.78554692 	 -3.78554665
-2.81855556 	 -3.82381785 	 -3.82381759
-2.86400000 	 -3.85949828 	 -3.85949801
-2.90944444 	 -3.89267107 	 -3.89267081
-2.95488889 	 -3.92343122 	 -3.92343098
-3.00033333 	 -3.95188430 	 -3.95188406
-3.04577778 	 -3.97814258 	 -3.97814235
-3.09122222 	 -4.00232460 	 -4.00232417
-3.13666667 	 -4.02454980 	 -4.02454939
-3.18211111 	 -4.04494014 	 -4.04493975
-3.22755556 	 -4.06361571 	 -4.06361535
-3.27300000 	 -4.08069414 	 -4.08069380
-3.31844444 	 -4.09629002 	 -4.09628971
-3.36388889 	 -4.11051431 	 -4.11051392
-3.40933333 	 -4.12347150 	 -4.12347114
-3.45477778 	 -4.13526262 	 -4.13526228
-3.50022222 	 -4.14598155 	 -4.14598124
-3.54566667 	 -4.15571752 	 -4.15571723
-3.59111111 	 -4.16455321 	 -4.16455294
-3.63655556 	 -4.17256622 	 -4.17256598
-3.68200000 	 -4.17982802 	 -4.17982780
-3.72744444 	 -4.18640557 	 -4.18640516
-3.77288889 	 -4.19235967 	 -4.19235930
-3.81833333 	 -4.19774694 	 -4.19774660
-3.86377778 	 -4.20261919 	 -4.20261888
-3.90922222 	 -4.20702372 	 -4.20702344
-3.95466667 	 -4.21100395 	 -4.21100364
-4.00011111 	 -4.21459956 	 -4.21459927
-4.04555556 	 -4.21784707 	 -4.21784681
-4.09100000 	 -4.22077910 	 -4.22077887
-4.13644444 	 -4.22342590 	 -4.22342549
-4.18188889 	 -4.22581443 	 -4.22581406
-4.22733333 	 -4.22796964 	 -4.22796930
-4.27277778 	 -4.22991378 	 -4.22991348
-4.31822222 	 -4.23166723 	 -4.23166699
-4.36366667 	 -4.23324888 	 -4.23324846
-4.40911111 	 -4.23467473 	 -4.23467435
-4.45455556 	 -4.23596072 	 -4.23596038
-4.50000000 	 -4.23711969 	 -4.23711943
