f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.27530203 	 -4.27530160
-3.72051282 	 -4.27832519 	 -4.27832477
-3.74102564 	 -4.28121581 	 -4.28121541
-3.76153846 	 -4.28397900 	 -4.28397862
-3.78205128 	 -4.28662075 	 -4.28662038
-3.80256410 	 -4.28914603 	 -4.28914568
-3.82307692 	 -4.29155938 	 -4.29155904
-3.84358974 	 -4.29386569 	 -4.29386536
-3.86410256 	 -4.29606988 	 -4.29606957
-3.88461538 	 -4.29817603 	 -4.29817573
-3.90512821 	 -4.30018820 	 -4.30018792
-3.92564103 	 -4.30211079 	 -4.30211045
-3.94615385 	 -4.30394725 	 -4.30394693
-3.96666667 	 -4.30570139 	 -4.30570108
-3.98717949 	 -4.30737712 	 -4.30737682
-4.00769231 	 -4.30897766 	 -4.30897737
-4.02820513 	 -4.31050633 	 -4.31050605
-4.04871795 	 -4.31196631 	 -4.31196604
-4.06923077 	 -4.31336021 	 -4.31335996
-4.08974359 	 -4.31469148 	 -4.31469124
-4.11025641 	 -4.31596253 	 -4.31596231
-4.13076923 	 -4.31717639 	 -4.31717597
-4.15128205 	 -4.31833501 	 -4.31833461
-4.17179487 	 -4.31944151 	 -4.31944113
-4.19230769 	 -4.32049774 	 -4.32049738
-4.21282051 	 -4.32150602 	 -4.32150567
-4.23333333 	 -4.32246843 	 -4.32246810
-4.25384615 	 -4.32338725 	 -4.32338693
-4.27435897 	 -4.32426439 	 -4.32426409
-4.29487179 	 -4.32510153 	 -4.32510124
-4.31538462 	 -4.32590076 	 -4.32590053
-4.33589744 	 -4.32666338 	 -4.32666315
-4.35641026 	 -4.32739123 	 -4.32739101
-4.37692308 	 -4.32808614 	 -4.32808573
-4.39743590 	 -4.32874918 	 -4.32874878
-4.41794872 	 -4.32938197 	 -4.32938159
-4.43846154 	 -4.32998598 	 -4.32998561
-4.45897436 	 -4.33056208 	 -4.33056173
-4.47948718 	 -4.33111198 	 -4.33111171
-4.50000000 	 -4.33163683 	 -4.33163657
