f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.30704066 	 -4.30704036
-3.72051282 	 -4.31070921 	 -4.31070892
-3.74102564 	 -4.31421882 	 -4.31421854
-3.76153846 	 -4.31757579 	 -4.31757553
-3.78205128 	 -4.32078640 	 -4.32078615
-3.80256410 	 -4.32385669 	 -4.32385644
-3.82307692 	 -4.32679254 	 -4.32679230
-3.84358974 	 -4.32959954 	 -4.32959931
-3.86410256 	 -4.33228287 	 -4.33228244
-3.88461538 	 -4.33484782 	 -4.33484740
-3.90512821 	 -4.33729944 	 -4.33729904
-3.92564103 	 -4.33964240 	 -4.33964201
-3.94615385 	 -4.34188154 	 -4.34188117
-3.96666667 	 -4.34402080 	 -4.34402045
-3.98717949 	 -4.34606513 	 -4.34606479
-4.00769231 	 -4.34801809 	 -4.34801777
-4.02820513 	 -4.34988374 	 -4.34988343
-4.04871795 	 -4.35166596 	 -4.35166567
-4.06923077 	 -4.35336862 	 -4.35336834
-4.08974359 	 -4.35499460 	 -4.35499426
-4.11025641 	 -4.35654748 	 -4.35654715
-4.13076923 	 -4.35803061 	 -4.35803030
-4.15128205 	 -4.35944684 	 -4.35944655
-4.17179487 	 -4.36079934 	 -4.36079905
-4.19230769 	 -4.36209104 	 -4.36209077
-4.21282051 	 -4.36332400 	 -4.36332374
-4.23333333 	 -4.36450137 	 -4.36450112
-4.25384615 	 -4.36562559 	 -4.36562535
-4.27435897 	 -4.36669864 	 -4.36669820
-4.29487179 	 -4.36772328 	 -4.36772287
-4.31538462 	 -4.36870134 	 -4.36870094
-4.33589744 	 -4.36963504 	 -4.36963466
-4.35641026 	 -4.37052623 	 -4.37052587
-4.37692308 	 -4.37137686 	 -4.37137651
-4.39743590 	 -4.37218868 	 -4.37218835
-4.41794872 	 -4.37296370 	 -4.37296338
-4.43846154 	 -4.37370328 	 -4.37370298
-4.45897436 	 -4.37440933 	 -4.37440908
-4.47948718 	 -4.37508299 	 -4.37508276
-4.50000000 	 -4.37572599 	 -4.37572576
