f0           	 log10(rhophA) 	 log10(rhophB)
-2.70000000 	 -4.63059746 	 -4.63059713
-2.77142857 	 -4.69146292 	 -4.69146260
-2.84285714 	 -4.74611344 	 -4.74611302
-2.91428571 	 -4.79483285 	 -4.79483245
-2.98571429 	 -4.83798579 	 -4.83798543
-3.05714286 	 -4.87598907 	 -4.87598873
-3.12857143 	 -4.90928691 	 -4.90928660
-3.20000000 	 -4.93833200 	 -4.93833172
-3.27142857 	 -4.96356828 	 -4.96356803
-3.34285714 	 -4.98542093 	 -4.98542071
-3.41428571 	 -5.00428765 	 -5.00428725
-3.48571429 	 -5.02053549 	 -5.02053514
-3.55714286 	 -5.03449666 	 -5.03449635
-3.62857143 	 -5.04647064 	 -5.04647030
-3.70000000 	 -5.05672379 	 -5.05672350
-3.72051282 	 -5.05938412 	 -5.05938383
-3.74102564 	 -5.06192717 	 -5.06192690
-3.76153846 	 -5.06435807 	 -5.06435782
-3.78205128 	 -5.06668124 	 -5.06668099
-3.80256410 	 -5.06890155 	 -5.06890131
-3.82307692 	 -5.07102332 	 -5.07102288
-3.84358974 	 -5.07305075 	 -5.07305033
-3.86410256 	 -5.07498765 	 -5.07498725
-3.88461538 	 -5.07683793 	 -5.07683755
-3.90512821 	 -5.07860574 	 -5.07860538
-3.92564103 	 -5.08029433 	 -5.08029398
-3.94615385 	 -5.08190705 	 -5.08190671
-3.96666667 	 -5.08344733 	 -5.08344701
-3.98717949 	 -5.08491877 	 -5.08491847
-4.00769231 	 -5.08632367 	 -5.08632338
-4.02820513 	 -5.08766528 	 -5.08766504
-4.04871795 	 -5.08894652 	 -5.08894629
-4.06923077 	 -5.09016988 	 -5.09016966
-4.08974359 	 -5.09133807 	 -5.09133765
-4.11025641 	 -5.09245313 	 -5.09245273
-4.13076923 	 -5.09351796 	 -5.09351758
-4.15128205 	 -5.09453423 	 -5.09453386
-4.17179487 	 -5.09550476 	 -5.09550441
-4.19230769 	 -5.09643105 	 -5.09643071
-4.21282051 	 -5.09731516 	 -5.09731490
-4.23333333 	 -5.09815899 	 -5.09815874
-4.25384615 	 -5.09896482 	 -5.09896459
-4.27435897 	 -5.09973361 	 -5.09973338
-4.29487179 	 -5.10046760 	 -5.10046716
-4.31538462 	 -5.10116809 	 -5.10116767
-4.33589744 	 -5.10183665 	 -5.10183625
-4.35641026 	 -5.10247482 	 -5.10247444
-4.37692308 	 -5.10308377 	 -5.10308341
-4.39743590 	 -5.10366462 	 -5.10366435
-4.41794872 	 -5.10421932 	 -5.10421906
-4.43846154 	 -5.10474840 	 -5.10474815
-4.45897436 	 -5.06801541 	 -5.06801519
-4.47948718 	 -5.06899761 	 -5.06899719
-4.50000000 	 -5.06993403 	 -5.06993364
