r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.200000e+06 	1.582208e+09 	9.356466e+02 	1.604931e+22 	2.310371e+02 	5.114834e+08 	2.213375e+06 	8.402565e+38 	5.491363e+38 	1.137415e+08 	3.333333e-01 	
1.200665e+06 	1.578958e+09 	9.267318e+02 	1.591703e+22 	2.329668e+02 	5.109578e+08 	2.192787e+06 	8.391026e+38 	5.485433e+38 	1.128691e+08 	3.333333e-01 	
1.201333e+06 	1.575711e+09 	9.179019e+02 	1.578572e+22 	2.349119e+02 	5.104323e+08 	2.172395e+06 	8.379490e+38 	5.479505e+38 	1.120038e+08 	3.333333e-01 	
1.202004e+06 	1.572469e+09 	9.091561e+02 	1.565537e+22 	2.368723e+02 	5.099068e+08 	2.152199e+06 	8.367958e+38 	5.473578e+38 	1.111453e+08 	3.333333e-01 	
1.202676e+06 	1.569230e+09 	9.004937e+02 	1.552598e+22 	2.388482e+02 	5.093814e+08 	2.132196e+06 	8.356428e+38 	5.467653e+38 	1.102936e+08 	3.333333e-01 	
1.203351e+06 	1.565994e+09 	8.919138e+02 	1.539755e+22 	2.408397e+02 	5.088560e+08 	2.112385e+06 	8.344902e+38 	5.461730e+38 	1.094487e+08 	3.333333e-01 	
1.204028e+06 	1.562762e+09 	8.834156e+02 	1.527006e+22 	2.428470e+02 	5.083306e+08 	2.092763e+06 	8.333380e+38 	5.455808e+38 	1.086105e+08 	3.333333e-01 	
1.204708e+06 	1.559534e+09 	8.749984e+02 	1.514352e+22 	2.448701e+02 	5.078053e+08 	2.073328e+06 	8.321861e+38 	5.449888e+38 	1.077790e+08 	3.333333e-01 	
1.205390e+06 	1.556310e+09 	8.666614e+02 	1.501792e+22 	2.469092e+02 	5.072801e+08 	2.054080e+06 	8.310346e+38 	5.443969e+38 	1.069541e+08 	3.333333e-01 	
1.206074e+06 	1.553089e+09 	8.584039e+02 	1.489324e+22 	2.489643e+02 	5.067549e+08 	2.035016e+06 	8.298834e+38 	5.438053e+38 	1.061358e+08 	3.333333e-01 	
1.206761e+06 	1.549872e+09 	8.502250e+02 	1.476949e+22 	2.510357e+02 	5.062298e+08 	2.016134e+06 	8.287327e+38 	5.432138e+38 	1.053239e+08 	3.333333e-01 	
1.207450e+06 	1.546658e+09 	8.421241e+02 	1.464665e+22 	2.531233e+02 	5.057047e+08 	1.997433e+06 	8.275823e+38 	5.426225e+38 	1.045186e+08 	3.333333e-01 	
1.208142e+06 	1.543448e+09 	8.341003e+02 	1.452473e+22 	2.552274e+02 	5.051797e+08 	1.978910e+06 	8.264324e+38 	5.420314e+38 	1.037196e+08 	3.333333e-01 	
1.208836e+06 	1.540242e+09 	8.261530e+02 	1.440372e+22 	2.573481e+02 	5.046547e+08 	1.960564e+06 	8.252828e+38 	5.414405e+38 	1.029269e+08 	3.333333e-01 	
1.209532e+06 	1.537040e+09 	8.182814e+02 	1.428360e+22 	2.594854e+02 	5.041298e+08 	1.942394e+06 	8.241337e+38 	5.408498e+38 	1.021406e+08 	3.333333e-01 	
1.210231e+06 	1.533841e+09 	8.104848e+02 	1.416438e+22 	2.616395e+02 	5.036049e+08 	1.924397e+06 	8.229851e+38 	5.402594e+38 	1.013605e+08 	3.333333e-01 	
1.210932e+06 	1.530646e+09 	8.027625e+02 	1.404606e+22 	2.638106e+02 	5.030801e+08 	1.906572e+06 	8.218369e+38 	5.396691e+38 	1.005865e+08 	3.333333e-01 	
1.211636e+06 	1.527455e+09 	7.951138e+02 	1.392862e+22 	2.659988e+02 	5.025554e+08 	1.888917e+06 	8.206891e+38 	5.390790e+38 	9.981871e+07 	3.333333e-01 	
1.212342e+06 	1.524267e+09 	7.875380e+02 	1.381206e+22 	2.682041e+02 	5.020308e+08 	1.871430e+06 	8.195418e+38 	5.384892e+38 	9.905699e+07 	3.333333e-01 	
1.213050e+06 	1.521083e+09 	7.800343e+02 	1.369638e+22 	2.704267e+02 	5.015062e+08 	1.854110e+06 	8.183950e+38 	5.378995e+38 	9.830130e+07 	3.333333e-01 	
1.213761e+06 	1.517903e+09 	7.726021e+02 	1.358156e+22 	2.726668e+02 	5.009817e+08 	1.836956e+06 	8.172487e+38 	5.373102e+38 	9.755160e+07 	3.333333e-01 	
1.214475e+06 	1.514727e+09 	7.652408e+02 	1.346761e+22 	2.749244e+02 	5.004573e+08 	1.819965e+06 	8.161028e+38 	5.367210e+38 	9.680784e+07 	3.333333e-01 	
1.215190e+06 	1.511555e+09 	7.579496e+02 	1.335451e+22 	2.771997e+02 	4.999329e+08 	1.803136e+06 	8.149575e+38 	5.361321e+38 	9.606997e+07 	3.333333e-01 	
1.215909e+06 	1.508386e+09 	7.507278e+02 	1.324226e+22 	2.794928e+02 	4.994086e+08 	1.786467e+06 	8.138126e+38 	5.355434e+38 	9.533794e+07 	3.333333e-01 	
1.216629e+06 	1.505221e+09 	7.435749e+02 	1.313086e+22 	2.818038e+02 	4.988844e+08 	1.769958e+06 	8.126683e+38 	5.349550e+38 	9.461169e+07 	3.333333e-01 	
1.217353e+06 	1.502060e+09 	7.364901e+02 	1.302030e+22 	2.841329e+02 	4.983603e+08 	1.753605e+06 	8.115246e+38 	5.343668e+38 	9.389120e+07 	3.333333e-01 	
1.218078e+06 	1.498902e+09 	7.294728e+02 	1.291058e+22 	2.864803e+02 	4.978362e+08 	1.737409e+06 	8.103813e+38 	5.337789e+38 	9.317639e+07 	3.333333e-01 	
1.218806e+06 	1.495749e+09 	7.225224e+02 	1.280170e+22 	2.888460e+02 	4.973123e+08 	1.721366e+06 	8.092387e+38 	5.331912e+38 	9.246722e+07 	3.333333e-01 	
1.219537e+06 	1.492599e+09 	7.156382e+02 	1.269364e+22 	2.912302e+02 	4.967884e+08 	1.705476e+06 	8.080965e+38 	5.326038e+38 	9.176365e+07 	3.333333e-01 	
1.220270e+06 	1.489454e+09 	7.088196e+02 	1.258640e+22 	2.936330e+02 	4.962646e+08 	1.689738e+06 	8.069549e+38 	5.320167e+38 	9.106564e+07 	3.333333e-01 	
1.221005e+06 	1.486312e+09 	7.020660e+02 	1.247997e+22 	2.960545e+02 	4.957409e+08 	1.674149e+06 	8.058139e+38 	5.314298e+38 	9.037314e+07 	3.333333e-01 	
1.221743e+06 	1.483174e+09 	6.953767e+02 	1.237436e+22 	2.984949e+02 	4.952173e+08 	1.658708e+06 	8.046735e+38 	5.308432e+38 	8.968611e+07 	3.333333e-01 	
1.222484e+06 	1.480040e+09 	6.887511e+02 	1.226955e+22 	3.009544e+02 	4.946938e+08 	1.643415e+06 	8.035337e+38 	5.302569e+38 	8.900450e+07 	3.333333e-01 	
1.223226e+06 	1.476909e+09 	6.821887e+02 	1.216553e+22 	3.034330e+02 	4.941704e+08 	1.628266e+06 	8.023945e+38 	5.296709e+38 	8.832827e+07 	3.333333e-01 	
1.223972e+06 	1.473783e+09 	6.756888e+02 	1.206232e+22 	3.059309e+02 	4.936470e+08 	1.613262e+06 	8.012559e+38 	5.290851e+38 	8.765737e+07 	3.333333e-01 	
1.224720e+06 	1.470660e+09 	6.692509e+02 	1.195989e+22 	3.084482e+02 	4.931238e+08 	1.598400e+06 	8.001179e+38 	5.284997e+38 	8.699175e+07 	3.333333e-01 	
1.225470e+06 	1.467541e+09 	6.628742e+02 	1.185824e+22 	3.109851e+02 	4.926006e+08 	1.583680e+06 	7.989805e+38 	5.279145e+38 	8.633138e+07 	3.333333e-01 	
1.226223e+06 	1.464426e+09 	6.565584e+02 	1.175738e+22 	3.135418e+02 	4.920776e+08 	1.569099e+06 	7.978438e+38 	5.273296e+38 	8.567620e+07 	3.333333e-01 	
1.226979e+06 	1.461316e+09 	6.503027e+02 	1.165729e+22 	3.161184e+02 	4.915547e+08 	1.554657e+06 	7.967077e+38 	5.267451e+38 	8.502618e+07 	3.333333e-01 	
1.227737e+06 	1.458209e+09 	6.441066e+02 	1.155798e+22 	3.187150e+02 	4.910319e+08 	1.540352e+06 	7.955723e+38 	5.261608e+38 	8.438128e+07 	3.333333e-01 	
