r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
9.999871e+05 	1.630353e+09 	7.110276e+02 	1.788970e+22 	1.083432e+03 	3.179481e+08 	2.934407e+05 	1.349706e+39 	9.087947e+38 	3.532572e+07 	3.333333e-01 	
1.000935e+06 	1.626643e+09 	7.049787e+02 	1.772729e+22 	1.090410e+03 	3.175862e+08 	2.912310e+05 	1.347424e+39 	9.076751e+38 	3.511004e+07 	3.333333e-01 	
1.001884e+06 	1.622940e+09 	6.989813e+02 	1.756631e+22 	1.097430e+03 	3.172245e+08 	2.890384e+05 	1.345147e+39 	9.065570e+38 	3.489570e+07 	3.333333e-01 	
1.002836e+06 	1.619245e+09 	6.930349e+02 	1.740675e+22 	1.104493e+03 	3.168632e+08 	2.868629e+05 	1.342874e+39 	9.054406e+38 	3.468269e+07 	3.333333e-01 	
1.003789e+06 	1.615557e+09 	6.871391e+02 	1.724860e+22 	1.111600e+03 	3.165021e+08 	2.847042e+05 	1.340605e+39 	9.043257e+38 	3.447101e+07 	3.333333e-01 	
1.004745e+06 	1.611877e+09 	6.812935e+02 	1.709185e+22 	1.118750e+03 	3.161414e+08 	2.825623e+05 	1.338341e+39 	9.032124e+38 	3.426064e+07 	3.333333e-01 	
1.005702e+06 	1.608204e+09 	6.754975e+02 	1.693648e+22 	1.125944e+03 	3.157810e+08 	2.804371e+05 	1.336081e+39 	9.021007e+38 	3.405159e+07 	3.333333e-01 	
1.006661e+06 	1.604538e+09 	6.697509e+02 	1.678248e+22 	1.133181e+03 	3.154209e+08 	2.783283e+05 	1.333825e+39 	9.009905e+38 	3.384384e+07 	3.333333e-01 	
1.007623e+06 	1.600880e+09 	6.640532e+02 	1.662984e+22 	1.140462e+03 	3.150612e+08 	2.762359e+05 	1.331573e+39 	8.998819e+38 	3.363738e+07 	3.333333e-01 	
1.008586e+06 	1.597229e+09 	6.584039e+02 	1.647855e+22 	1.147788e+03 	3.147017e+08 	2.741597e+05 	1.329326e+39 	8.987749e+38 	3.343220e+07 	3.333333e-01 	
1.009552e+06 	1.593586e+09 	6.528027e+02 	1.632859e+22 	1.155159e+03 	3.143426e+08 	2.720996e+05 	1.327083e+39 	8.976695e+38 	3.322830e+07 	3.333333e-01 	
1.010520e+06 	1.589950e+09 	6.472492e+02 	1.617997e+22 	1.162574e+03 	3.139837e+08 	2.700555e+05 	1.324844e+39 	8.965657e+38 	3.302568e+07 	3.333333e-01 	
1.011489e+06 	1.586321e+09 	6.417429e+02 	1.603265e+22 	1.170034e+03 	3.136252e+08 	2.680272e+05 	1.322610e+39 	8.954635e+38 	3.282431e+07 	3.333333e-01 	
1.012461e+06 	1.582700e+09 	6.362835e+02 	1.588664e+22 	1.177540e+03 	3.132670e+08 	2.660147e+05 	1.320380e+39 	8.943629e+38 	3.262419e+07 	3.333333e-01 	
1.013435e+06 	1.579085e+09 	6.308704e+02 	1.574192e+22 	1.185091e+03 	3.129092e+08 	2.640177e+05 	1.318154e+39 	8.932639e+38 	3.242532e+07 	3.333333e-01 	
1.014410e+06 	1.575479e+09 	6.255035e+02 	1.559849e+22 	1.192689e+03 	3.125516e+08 	2.620362e+05 	1.315933e+39 	8.921664e+38 	3.222768e+07 	3.333333e-01 	
1.015388e+06 	1.571879e+09 	6.201822e+02 	1.545633e+22 	1.200332e+03 	3.121943e+08 	2.600700e+05 	1.313715e+39 	8.910705e+38 	3.203127e+07 	3.333333e-01 	
1.016368e+06 	1.568287e+09 	6.149061e+02 	1.531542e+22 	1.208022e+03 	3.118374e+08 	2.581190e+05 	1.311502e+39 	8.899761e+38 	3.183608e+07 	3.333333e-01 	
1.017349e+06 	1.564702e+09 	6.096750e+02 	1.517577e+22 	1.215759e+03 	3.114808e+08 	2.561832e+05 	1.309293e+39 	8.888833e+38 	3.164210e+07 	3.333333e-01 	
1.018333e+06 	1.561125e+09 	6.044884e+02 	1.503735e+22 	1.223543e+03 	3.111245e+08 	2.542623e+05 	1.307089e+39 	8.877921e+38 	3.144933e+07 	3.333333e-01 	
1.019319e+06 	1.557554e+09 	5.993458e+02 	1.490016e+22 	1.231374e+03 	3.107685e+08 	2.523563e+05 	1.304888e+39 	8.867024e+38 	3.125775e+07 	3.333333e-01 	
1.020307e+06 	1.553991e+09 	5.942471e+02 	1.476419e+22 	1.239252e+03 	3.104129e+08 	2.504650e+05 	1.302692e+39 	8.856144e+38 	3.106737e+07 	3.333333e-01 	
1.021297e+06 	1.550435e+09 	5.891917e+02 	1.462942e+22 	1.247178e+03 	3.100575e+08 	2.485884e+05 	1.300500e+39 	8.845279e+38 	3.087817e+07 	3.333333e-01 	
1.022290e+06 	1.546886e+09 	5.841793e+02 	1.449585e+22 	1.255152e+03 	3.097025e+08 	2.467263e+05 	1.298313e+39 	8.834431e+38 	3.069014e+07 	3.333333e-01 	
1.023284e+06 	1.543345e+09 	5.792095e+02 	1.436346e+22 	1.263175e+03 	3.093478e+08 	2.448785e+05 	1.296129e+39 	8.823597e+38 	3.050328e+07 	3.333333e-01 	
1.024280e+06 	1.539811e+09 	5.742821e+02 	1.423226e+22 	1.271246e+03 	3.089934e+08 	2.430450e+05 	1.293950e+39 	8.812780e+38 	3.031757e+07 	3.333333e-01 	
