r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.000000e+06 	1.571249e+09 	2.585017e+04 	1.788970e+22 	9.423498e+00 	3.121318e+08 	3.312002e+07 	1.015726e+39 	6.839212e+38 	1.315213e+09 	3.333333e-01 	
1.000022e+06 	1.568845e+09 	2.559760e+04 	1.776742e+22 	9.516013e+00 	3.118929e+08 	3.277293e+07 	1.015675e+39 	6.838941e+38 	1.303670e+09 	3.333333e-01 	
1.000044e+06 	1.566448e+09 	2.534750e+04 	1.764618e+22 	9.609437e+00 	3.116546e+08 	3.242951e+07 	1.015624e+39 	6.838668e+38 	1.292227e+09 	3.333333e-01 	
1.000065e+06 	1.564058e+09 	2.509984e+04 	1.752595e+22 	9.703777e+00 	3.114167e+08 	3.208972e+07 	1.015573e+39 	6.838393e+38 	1.280881e+09 	3.333333e-01 	
1.000087e+06 	1.561676e+09 	2.485461e+04 	1.740673e+22 	9.799043e+00 	3.111794e+08 	3.175354e+07 	1.015521e+39 	6.838118e+38 	1.269634e+09 	3.333333e-01 	
1.000109e+06 	1.559299e+09 	2.461177e+04 	1.728851e+22 	9.895243e+00 	3.109426e+08 	3.142091e+07 	1.015469e+39 	6.837841e+38 	1.258482e+09 	3.333333e-01 	
1.000131e+06 	1.556930e+09 	2.437130e+04 	1.717128e+22 	9.992387e+00 	3.107063e+08 	3.109180e+07 	1.015417e+39 	6.837563e+38 	1.247427e+09 	3.333333e-01 	
1.000153e+06 	1.554568e+09 	2.413318e+04 	1.705502e+22 	1.009048e+01 	3.104705e+08 	3.076617e+07 	1.015365e+39 	6.837284e+38 	1.236467e+09 	3.333333e-01 	
1.000175e+06 	1.552213e+09 	2.389739e+04 	1.693974e+22 	1.018954e+01 	3.102352e+08 	3.044398e+07 	1.015312e+39 	6.837003e+38 	1.225601e+09 	3.333333e-01 	
1.000197e+06 	1.549864e+09 	2.366391e+04 	1.682542e+22 	1.028957e+01 	3.100004e+08 	3.012521e+07 	1.015259e+39 	6.836721e+38 	1.214829e+09 	3.333333e-01 	
1.000219e+06 	1.547522e+09 	2.343270e+04 	1.671205e+22 	1.039059e+01 	3.097661e+08 	2.980980e+07 	1.015207e+39 	6.836438e+38 	1.204149e+09 	3.333333e-01 	
1.000241e+06 	1.545187e+09 	2.320375e+04 	1.659963e+22 	1.049259e+01 	3.095323e+08 	2.949773e+07 	1.015153e+39 	6.836153e+38 	1.193562e+09 	3.333333e-01 	
1.000263e+06 	1.542859e+09 	2.297704e+04 	1.648814e+22 	1.059559e+01 	3.092990e+08 	2.918896e+07 	1.015100e+39 	6.835867e+38 	1.183065e+09 	3.333333e-01 	
1.000285e+06 	1.540538e+09 	2.275255e+04 	1.637758e+22 	1.069961e+01 	3.090663e+08 	2.888346e+07 	1.015047e+39 	6.835580e+38 	1.172659e+09 	3.333333e-01 	
1.000307e+06 	1.538223e+09 	2.253025e+04 	1.626794e+22 	1.080464e+01 	3.088340e+08 	2.858118e+07 	1.014993e+39 	6.835292e+38 	1.162343e+09 	3.333333e-01 	
1.000329e+06 	1.535915e+09 	2.231012e+04 	1.615920e+22 	1.091070e+01 	3.086022e+08 	2.828211e+07 	1.014939e+39 	6.835002e+38 	1.152115e+09 	3.333333e-01 	
1.000352e+06 	1.533614e+09 	2.209214e+04 	1.605137e+22 	1.101781e+01 	3.083710e+08 	2.798619e+07 	1.014885e+39 	6.834710e+38 	1.141975e+09 	3.333333e-01 	
1.000374e+06 	1.531319e+09 	2.187629e+04 	1.594443e+22 	1.112597e+01 	3.081402e+08 	2.769340e+07 	1.014830e+39 	6.834418e+38 	1.131923e+09 	3.333333e-01 	
1.000396e+06 	1.529032e+09 	2.166255e+04 	1.583838e+22 	1.123518e+01 	3.079099e+08 	2.740370e+07 	1.014776e+39 	6.834124e+38 	1.121958e+09 	3.333333e-01 	
1.000419e+06 	1.526750e+09 	2.145090e+04 	1.573320e+22 	1.134547e+01 	3.076801e+08 	2.711707e+07 	1.014721e+39 	6.833828e+38 	1.112078e+09 	3.333333e-01 	
1.000441e+06 	1.524476e+09 	2.124131e+04 	1.562888e+22 	1.145684e+01 	3.074508e+08 	2.683346e+07 	1.014666e+39 	6.833531e+38 	1.102284e+09 	3.333333e-01 	
1.000463e+06 	1.522208e+09 	2.103378e+04 	1.552543e+22 	1.156930e+01 	3.072221e+08 	2.655285e+07 	1.014610e+39 	6.833233e+38 	1.092574e+09 	3.333333e-01 	
1.000486e+06 	1.519946e+09 	2.082827e+04 	1.542282e+22 	1.168286e+01 	3.069938e+08 	2.627520e+07 	1.014555e+39 	6.832933e+38 	1.082948e+09 	3.333333e-01 	
1.000508e+06 	1.517691e+09 	2.062477e+04 	1.532106e+22 	1.179754e+01 	3.067659e+08 	2.600049e+07 	1.014499e+39 	6.832632e+38 	1.073405e+09 	3.333333e-01 	
1.000531e+06 	1.515443e+09 	2.042325e+04 	1.522014e+22 	1.191335e+01 	3.065386e+08 	2.572868e+07 	1.014443e+39 	6.832329e+38 	1.063944e+09 	3.333333e-01 	
1.000553e+06 	1.513201e+09 	2.022371e+04 	1.512006e+22 	1.203028e+01 	3.063118e+08 	2.545974e+07 	1.014387e+39 	6.832025e+38 	1.054565e+09 	3.333333e-01 	
1.000576e+06 	1.510966e+09 	2.002612e+04 	1.502079e+22 	1.214837e+01 	3.060855e+08 	2.519363e+07 	1.014330e+39 	6.831720e+38 	1.045267e+09 	3.333333e-01 	
1.000599e+06 	1.508737e+09 	1.983045e+04 	1.492233e+22 	1.226761e+01 	3.058597e+08 	2.493034e+07 	1.014274e+39 	6.831413e+38 	1.036050e+09 	3.333333e-01 	
1.000621e+06 	1.506515e+09 	1.963670e+04 	1.482468e+22 	1.238803e+01 	3.056343e+08 	2.466983e+07 	1.014217e+39 	6.831104e+38 	1.026911e+09 	3.333333e-01 	
1.000644e+06 	1.504299e+09 	1.944484e+04 	1.472782e+22 	1.250962e+01 	3.054095e+08 	2.441207e+07 	1.014160e+39 	6.830794e+38 	1.017852e+09 	3.333333e-01 	
1.000667e+06 	1.502089e+09 	1.925486e+04 	1.463176e+22 	1.263241e+01 	3.051851e+08 	2.415703e+07 	1.014102e+39 	6.830483e+38 	1.008872e+09 	3.333333e-01 	
1.000689e+06 	1.499886e+09 	1.906673e+04 	1.453647e+22 	1.275640e+01 	3.049612e+08 	2.390468e+07 	1.014045e+39 	6.830170e+38 	9.999685e+08 	3.333333e-01 	
1.000712e+06 	1.497689e+09 	1.888044e+04 	1.444197e+22 	1.288160e+01 	3.047378e+08 	2.365499e+07 	1.013987e+39 	6.829856e+38 	9.911423e+08 	3.333333e-01 	
1.000735e+06 	1.495499e+09 	1.869597e+04 	1.434823e+22 	1.300804e+01 	3.045149e+08 	2.340793e+07 	1.013928e+39 	6.829540e+38 	9.823925e+08 	3.333333e-01 	
1.000758e+06 	1.493315e+09 	1.851330e+04 	1.425525e+22 	1.313571e+01 	3.042924e+08 	2.316349e+07 	1.013870e+39 	6.829222e+38 	9.737183e+08 	3.333333e-01 	
1.000781e+06 	1.491137e+09 	1.833242e+04 	1.416303e+22 	1.326464e+01 	3.040705e+08 	2.292162e+07 	1.013811e+39 	6.828903e+38 	9.651192e+08 	3.333333e-01 	
1.000804e+06 	1.488966e+09 	1.815331e+04 	1.407156e+22 	1.339483e+01 	3.038490e+08 	2.268230e+07 	1.013753e+39 	6.828583e+38 	9.565945e+08 	3.333333e-01 	
1.000827e+06 	1.486801e+09 	1.797594e+04 	1.398084e+22 	1.352630e+01 	3.036280e+08 	2.244551e+07 	1.013693e+39 	6.828260e+38 	9.481436e+08 	3.333333e-01 	
1.000850e+06 	1.484642e+09 	1.780031e+04 	1.389085e+22 	1.365905e+01 	3.034075e+08 	2.221122e+07 	1.013634e+39 	6.827937e+38 	9.397658e+08 	3.333333e-01 	
1.000873e+06 	1.482489e+09 	1.762639e+04 	1.380158e+22 	1.379311e+01 	3.031875e+08 	2.197939e+07 	1.013574e+39 	6.827611e+38 	9.314606e+08 	3.333333e-01 	
1.000896e+06 	1.480343e+09 	1.745418e+04 	1.371303e+22 	1.392848e+01 	3.029679e+08 	2.175002e+07 	1.013515e+39 	6.827284e+38 	9.232273e+08 	3.333333e-01 	
1.000919e+06 	1.478203e+09 	1.728364e+04 	1.362520e+22 	1.406518e+01 	3.027488e+08 	2.152305e+07 	1.013454e+39 	6.826956e+38 	9.150653e+08 	3.333333e-01 	
