r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.200000e+06 	1.444302e+09 	5.667408e+04 	1.604931e+22 	1.911652e+00 	2.992571e+08 	1.565320e+08 	9.682590e+38 	6.327903e+38 	3.652081e+09 	3.333333e-01 	
1.200014e+06 	1.441255e+09 	5.609884e+04 	1.589488e+22 	1.931204e+00 	2.989413e+08 	1.547837e+08 	9.682460e+38 	6.327857e+38 	3.619853e+09 	3.333333e-01 	
1.200028e+06 	1.438216e+09 	5.552944e+04 	1.574206e+22 	1.950956e+00 	2.986260e+08 	1.530551e+08 	9.682330e+38 	6.327810e+38 	3.587904e+09 	3.333333e-01 	
1.200041e+06 	1.435186e+09 	5.496581e+04 	1.559083e+22 	1.970910e+00 	2.983112e+08 	1.513458e+08 	9.682199e+38 	6.327763e+38 	3.556231e+09 	3.333333e-01 	
1.200055e+06 	1.432165e+09 	5.440791e+04 	1.544117e+22 	1.991069e+00 	2.979971e+08 	1.496558e+08 	9.682069e+38 	6.327717e+38 	3.524832e+09 	3.333333e-01 	
1.200069e+06 	1.429152e+09 	5.385567e+04 	1.529308e+22 	2.011433e+00 	2.976835e+08 	1.479848e+08 	9.681938e+38 	6.327670e+38 	3.493704e+09 	3.333333e-01 	
1.200083e+06 	1.426148e+09 	5.330903e+04 	1.514652e+22 	2.032005e+00 	2.973704e+08 	1.463325e+08 	9.681807e+38 	6.327623e+38 	3.462846e+09 	3.333333e-01 	
1.200097e+06 	1.423152e+09 	5.276795e+04 	1.500149e+22 	2.052788e+00 	2.970579e+08 	1.446988e+08 	9.681677e+38 	6.327576e+38 	3.432255e+09 	3.333333e-01 	
1.200110e+06 	1.420165e+09 	5.223235e+04 	1.485796e+22 	2.073784e+00 	2.967460e+08 	1.430834e+08 	9.681546e+38 	6.327529e+38 	3.401929e+09 	3.333333e-01 	
1.200124e+06 	1.417186e+09 	5.170219e+04 	1.471592e+22 	2.094994e+00 	2.964346e+08 	1.414862e+08 	9.681414e+38 	6.327481e+38 	3.371865e+09 	3.333333e-01 	
1.200138e+06 	1.414215e+09 	5.117742e+04 	1.457536e+22 	2.116422e+00 	2.961237e+08 	1.399069e+08 	9.681283e+38 	6.327434e+38 	3.342062e+09 	3.333333e-01 	
1.200152e+06 	1.411253e+09 	5.065797e+04 	1.443625e+22 	2.138068e+00 	2.958134e+08 	1.383454e+08 	9.681152e+38 	6.327387e+38 	3.312516e+09 	3.333333e-01 	
1.200165e+06 	1.408299e+09 	5.014379e+04 	1.429859e+22 	2.159936e+00 	2.955037e+08 	1.368014e+08 	9.681020e+38 	6.327339e+38 	3.283227e+09 	3.333333e-01 	
1.200179e+06 	1.405354e+09 	4.963483e+04 	1.416236e+22 	2.182028e+00 	2.951946e+08 	1.352747e+08 	9.680888e+38 	6.327291e+38 	3.254191e+09 	3.333333e-01 	
1.200193e+06 	1.402417e+09 	4.913104e+04 	1.402754e+22 	2.204345e+00 	2.948860e+08 	1.337652e+08 	9.680757e+38 	6.327243e+38 	3.225406e+09 	3.333333e-01 	
1.200206e+06 	1.399489e+09 	4.863236e+04 	1.389412e+22 	2.226891e+00 	2.945779e+08 	1.322726e+08 	9.680625e+38 	6.327196e+38 	3.196872e+09 	3.333333e-01 	
1.200220e+06 	1.396569e+09 	4.813874e+04 	1.376208e+22 	2.249667e+00 	2.942704e+08 	1.307967e+08 	9.680492e+38 	6.327148e+38 	3.168584e+09 	3.333333e-01 	
1.200234e+06 	1.393657e+09 	4.765013e+04 	1.363140e+22 	2.272677e+00 	2.939635e+08 	1.293375e+08 	9.680360e+38 	6.327099e+38 	3.140542e+09 	3.333333e-01 	
1.200248e+06 	1.390753e+09 	4.716648e+04 	1.350207e+22 	2.295921e+00 	2.936571e+08 	1.278946e+08 	9.680228e+38 	6.327051e+38 	3.112743e+09 	3.333333e-01 	
1.200261e+06 	1.387858e+09 	4.668774e+04 	1.337408e+22 	2.319404e+00 	2.933512e+08 	1.264679e+08 	9.680095e+38 	6.327003e+38 	3.085184e+09 	3.333333e-01 	
1.200275e+06 	1.384970e+09 	4.621386e+04 	1.324741e+22 	2.343126e+00 	2.930459e+08 	1.250572e+08 	9.679962e+38 	6.326954e+38 	3.057865e+09 	3.333333e-01 	
1.200289e+06 	1.382091e+09 	4.574479e+04 	1.312205e+22 	2.367092e+00 	2.927412e+08 	1.236624e+08 	9.679829e+38 	6.326906e+38 	3.030783e+09 	3.333333e-01 	
1.200303e+06 	1.379221e+09 	4.528048e+04 	1.299799e+22 	2.391302e+00 	2.924370e+08 	1.222832e+08 	9.679696e+38 	6.326857e+38 	3.003936e+09 	3.333333e-01 	
1.200316e+06 	1.376358e+09 	4.482088e+04 	1.287520e+22 	2.415760e+00 	2.921334e+08 	1.209195e+08 	9.679563e+38 	6.326808e+38 	2.977322e+09 	3.333333e-01 	
1.200330e+06 	1.373504e+09 	4.436595e+04 	1.275368e+22 	2.440468e+00 	2.918303e+08 	1.195711e+08 	9.679429e+38 	6.326759e+38 	2.950938e+09 	3.333333e-01 	
1.200344e+06 	1.370657e+09 	4.391564e+04 	1.263341e+22 	2.465429e+00 	2.915277e+08 	1.182379e+08 	9.679296e+38 	6.326710e+38 	2.924784e+09 	3.333333e-01 	
