r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.200433e+06 	1.302759e+09 	5.019661e+04 	1.604931e+22 	1.713026e-01 	4.177096e+08 	2.446558e+09 	3.537459e+38 	2.312293e+38 	5.864785e+09 	3.333333e-01 	
1.200454e+06 	1.299066e+09 	4.962385e+04 	1.584219e+22 	1.732729e-01 	4.171170e+08 	2.415234e+09 	3.537422e+38 	2.312290e+38 	5.808070e+09 	3.333333e-01 	
1.200475e+06 	1.295384e+09 	4.905762e+04 	1.563778e+22 	1.752660e-01 	4.165254e+08 	2.384311e+09 	3.537385e+38 	2.312287e+38 	5.751894e+09 	3.333333e-01 	
1.200496e+06 	1.291712e+09 	4.849786e+04 	1.543607e+22 	1.772819e-01 	4.159348e+08 	2.353785e+09 	3.537348e+38 	2.312284e+38 	5.696253e+09 	3.333333e-01 	
1.200517e+06 	1.288052e+09 	4.794448e+04 	1.523702e+22 	1.793211e-01 	4.153451e+08 	2.323652e+09 	3.537311e+38 	2.312281e+38 	5.641141e+09 	3.333333e-01 	
1.200537e+06 	1.284403e+09 	4.739741e+04 	1.504058e+22 	1.813837e-01 	4.147563e+08 	2.293904e+09 	3.537274e+38 	2.312278e+38 	5.586554e+09 	3.333333e-01 	
1.200558e+06 	1.280765e+09 	4.685659e+04 	1.484673e+22 	1.834701e-01 	4.141685e+08 	2.264539e+09 	3.537237e+38 	2.312275e+38 	5.532487e+09 	3.333333e-01 	
1.200579e+06 	1.277138e+09 	4.632194e+04 	1.465543e+22 	1.855805e-01 	4.135816e+08 	2.235550e+09 	3.537200e+38 	2.312272e+38 	5.478934e+09 	3.333333e-01 	
1.200600e+06 	1.273521e+09 	4.579339e+04 	1.446664e+22 	1.877152e-01 	4.129956e+08 	2.206934e+09 	3.537163e+38 	2.312269e+38 	5.425892e+09 	3.333333e-01 	
1.200620e+06 	1.269915e+09 	4.527087e+04 	1.428034e+22 	1.898744e-01 	4.124105e+08 	2.178684e+09 	3.537127e+38 	2.312266e+38 	5.373355e+09 	3.333333e-01 	
1.200641e+06 	1.266321e+09 	4.475431e+04 	1.409647e+22 	1.920585e-01 	4.118264e+08 	2.150797e+09 	3.537090e+38 	2.312263e+38 	5.321319e+09 	3.333333e-01 	
1.200661e+06 	1.262736e+09 	4.424365e+04 	1.391503e+22 	1.942677e-01 	4.112432e+08 	2.123268e+09 	3.537054e+38 	2.312260e+38 	5.269778e+09 	3.333333e-01 	
1.200682e+06 	1.259163e+09 	4.373881e+04 	1.373597e+22 	1.965024e-01 	4.106609e+08 	2.096092e+09 	3.537017e+38 	2.312257e+38 	5.218729e+09 	3.333333e-01 	
1.200702e+06 	1.255600e+09 	4.323973e+04 	1.355926e+22 	1.987628e-01 	4.100795e+08 	2.069265e+09 	3.536981e+38 	2.312254e+38 	5.168165e+09 	3.333333e-01 	
1.200723e+06 	1.252049e+09 	4.274635e+04 	1.338488e+22 	2.010491e-01 	4.094991e+08 	2.042781e+09 	3.536944e+38 	2.312251e+38 	5.118084e+09 	3.333333e-01 	
1.200743e+06 	1.248507e+09 	4.225860e+04 	1.321278e+22 	2.033618e-01 	4.089196e+08 	2.016638e+09 	3.536908e+38 	2.312248e+38 	5.068480e+09 	3.333333e-01 	
1.200763e+06 	1.244977e+09 	4.177641e+04 	1.304294e+22 	2.057012e-01 	4.083410e+08 	1.990830e+09 	3.536872e+38 	2.312245e+38 	5.019350e+09 	3.333333e-01 	
1.200784e+06 	1.241457e+09 	4.129973e+04 	1.287532e+22 	2.080674e-01 	4.077633e+08 	1.965353e+09 	3.536835e+38 	2.312242e+38 	4.970688e+09 	3.333333e-01 	
1.200804e+06 	1.237947e+09 	4.082848e+04 	1.270991e+22 	2.104609e-01 	4.071865e+08 	1.940203e+09 	3.536799e+38 	2.312240e+38 	4.922490e+09 	3.333333e-01 	
1.200824e+06 	1.234448e+09 	4.036261e+04 	1.254666e+22 	2.128819e-01 	4.066106e+08 	1.915375e+09 	3.536763e+38 	2.312237e+38 	4.874752e+09 	3.333333e-01 	
1.200845e+06 	1.230959e+09 	3.990206e+04 	1.238556e+22 	2.153308e-01 	4.060357e+08 	1.890866e+09 	3.536727e+38 	2.312234e+38 	4.827469e+09 	3.333333e-01 	
