Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49894400  	 6.49895006 
1.01222222  	 6.65398756  	 6.65399111 
1.01444444  	 6.79968000  	 6.79968356 
1.01666667  	 6.93761422  	 6.93761778 
1.01888889  	 7.06841955  	 7.06842311 
1.01911111  	 7.08110962  	 7.08110962 
1.01955556  	 7.10627144  	 7.10627145 
1.02044444  	 7.15570538  	 7.15570538 
1.02088889  	 7.17996442  	 7.17996443 
1.02111111  	 7.19197511  	 7.19197866 
1.02333333  	 7.30748444  	 7.30748800 
1.02555556  	 7.41362844  	 7.41363200 
