Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01239636  	 6.88089263  	 6.88089869 
1.01242669  	 6.90896730  	 6.90897085 
1.01245702  	 6.95554508  	 6.95554863 
1.01246460  	 6.97573611  	 6.97573905 
1.01246484  	 6.97649002  	 6.97649658 
1.01246491  	 6.97671361  	 6.97671857 
1.01246497  	 6.97693401  	 6.97693850 
1.01246504  	 6.97715991  	 6.97716394 
1.01246511  	 6.97738052  	 6.97738408 
1.01246518  	 6.97760637  	 6.97760946 
1.01246524  	 6.97783155  	 6.97783417 
1.01246531  	 6.97805884  	 6.97806099 
1.01246555  	 6.97885009  	 6.97885590 
1.01246593  	 6.98015466  	 6.98015916 
1.01246631  	 6.98148950  	 6.98149345 
1.01246668  	 6.98285792  	 6.98286131 
1.01246706  	 6.98426624  	 6.98426905 
1.01246744  	 6.98571462  	 6.98571683 
1.01246839  	 6.98953407  	 6.98953655 
1.01247092  	 7.00144127  	 7.00144351 
1.01247345  	 7.01762489  	 7.01762693 
1.01247598  	 7.04618880  	 7.04619763 
1.01247977  	 7.12247695  	 7.12247955 
1.01248735  	 7.13017619  	 7.13017975 
