Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46653280  	 6.46653888 
1.01222222  	 6.62001692  	 6.62002183 
1.01444444  	 6.76661307  	 6.76661749 
1.01666667  	 6.91037666  	 6.91038060 
1.01888889  	 7.05408141  	 7.05408490 
1.02111111  	 7.19969234  	 7.19969536 
1.02133333  	 7.21440254  	 7.21440581 
1.02158730  	 7.23125601  	 7.23126114 
1.02184127  	 7.24814454  	 7.24814956 
1.02209524  	 7.26506957  	 7.26507448 
1.02234920  	 7.28203116  	 7.28203596 
1.02260317  	 7.29902798  	 7.29903266 
1.02285714  	 7.31605730  	 7.31606188 
1.02311111  	 7.33311511  	 7.33311958 
1.02333333  	 7.34806297  	 7.34806553 
1.02555556  	 7.49766844  	 7.49767053 
1.02777778  	 7.64233993  	 7.64234797 
