Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49617314  	 6.49617920 
1.01222222  	 6.63631892  	 6.63632247 
1.01444444  	 6.75883270  	 6.75883625 
1.01666667  	 6.86701759  	 6.86702114 
1.01888889  	 6.96338737  	 6.96339092 
1.02111111  	 7.04987626  	 7.04987981 
1.02333333  	 7.12800248  	 7.12800604 
1.02355555  	 7.13540483  	 7.13540484 
1.02400000  	 7.14999638  	 7.14999639 
1.02444445  	 7.16431434  	 7.16431434 
1.02488889  	 7.17836649  	 7.17836650 
1.02533334  	 7.19216033  	 7.19216033 
1.02555556  	 7.19896070  	 7.19896426 
1.02777778  	 7.26371092  	 7.26371448 
1.03000000  	 7.32303892  	 7.32304248 
