Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.00900000  	 6.43710560  	 6.43711168 
1.01000000  	 6.52920544  	 6.52921152 
1.01005556  	 6.53448017  	 6.53448517 
1.01111111  	 6.64021801  	 6.64022270 
1.01216666  	 6.76461305  	 6.76461740 
1.01222222  	 6.77203951  	 6.77204421 
1.01322222  	 6.93576288  	 6.93576896 
1.01333333  	 6.95968693  	 6.95969034 
1.01344444  	 6.98563650  	 6.98563983 
1.01355555  	 7.01411009  	 7.01411333 
1.01366666  	 7.04581946  	 7.04582262 
1.01377778  	 7.08185543  	 7.08185848 
1.01388889  	 7.12396668  	 7.12396962 
1.01400000  	 7.17534288  	 7.17534568 
1.01411111  	 7.24276685  	 7.24276948 
1.01422222  	 7.34596379  	 7.34596621 
