logMdot 	 Edot/LEdd    	 log10(Ts)   
16.75   	 1.0119812403  	 6.9161444252 
16.80   	 1.012243129  	 6.950668046 
16.85   	 1.0125257226  	 6.9942155753 
16.90   	 1.0128245390  	 7.0238330369 
16.95   	 1.0131447566  	 7.0529325304 
17.00   	 1.01348783  	 7.08141416 
17.05   	 1.01385622  	 7.10915178 
17.10   	 1.01425157  	 7.13600732 
17.15   	 1.01467572  	 7.16180641 
17.20   	 1.01513047  	 7.18634532 
17.25   	 1.01561759  	 7.20940600 
17.30   	 1.01613702  	 7.23079272 
17.40   	 1.01727513  	 7.26788714 
17.50   	 1.01853377  	 7.29685575 
17.60   	 1.01987931  	 7.31765822 
17.70   	 1.02126092  	 7.33065085 
17.75   	 1.02194311  	 7.33425994 
17.80   	 1.02261017  	 7.33631148 
17.90   	 1.02385204  	 7.33505966 
18.00   	 1.02491249  	 7.32715812 
18.10   	 1.02573179  	 7.31297863 
18.20   	 1.02626037  	 7.29252285 
18.25   	 1.02640582  	 7.27997061 
18.30   	 1.02647222  	 7.26597216 
18.40   	 1.02636103  	 7.23346635 
18.50   	 1.02593932  	 7.19517763 
18.60   	 1.02524298  	 7.15155844 
18.70   	 1.02433974  	 7.10371431 
18.75   	 1.02384725  	 7.07897976 
19.00   	 1.02142089  	 6.95624143 
