logMdot 	 Edot/LEdd    	 log10(Ts)   
17.40   	 1.01302154  	 7.13631758 
17.50   	 1.01393914  	 7.18235428 
17.60   	 1.01498964  	 7.22252776 
17.70   	 1.01617012  	 7.25559907 
17.80   	 1.01745831  	 7.28063952 
17.90   	 1.01880839  	 7.29721047 
18.00   	 1.02015309  	 7.30529289 
18.10   	 1.02141167  	 7.30511838 
18.20   	 1.02250196  	 7.29702400 
18.30   	 1.02335185  	 7.28137809 
18.40   	 1.02390942  	 7.25858990 
18.50   	 1.02415679  	 7.22942137 
18.60   	 1.02414014  	 7.19589825 
18.70   	 1.02393864  	 7.16016499 
18.80   	 1.02362818  	 7.12371324 
18.90   	 1.02328359  	 7.08787559 
19.00   	 1.02297744  	 7.05392323 
