logMdot 	 Edot/LEdd    	 log10(Ts)   
17.00   	 1.0135140822  	 7.1341563169 
17.10   	 1.01427795  	 7.18700189 
17.20   	 1.01515720  	 7.23547374 
17.30   	 1.01616442  	 7.27795653 
17.40   	 1.01730368  	 7.31311614 
17.50   	 1.01856361  	 7.34035166 
17.60   	 1.01991241  	 7.35972840 
17.70   	 1.02129773  	 7.37164637 
17.80   	 1.02265172  	 7.37656194 
17.90   	 1.02389930  	 7.37485226 
18.00   	 1.02496745  	 7.36678367 
18.10   	 1.02579333  	 7.35252999 
18.20   	 1.02633036  	 7.33220881 
18.30   	 1.02655147  	 7.30591797 
18.40   	 1.02645016  	 7.27376840 
18.50   	 1.02603924  	 7.23592305 
18.60   	 1.02535127  	 7.19271137 
18.70   	 1.02445549  	 7.14528749 
18.80   	 1.02347220  	 7.09623615 
18.90   	 1.02249298  	 7.04740991 
19.00   	 1.02157752  	 6.99996479 
