logMdot 	 Edot/LEdd    	 log10(Ts)   
17.10   	 1.01279300  	 7.02867246 
17.20   	 1.01374425  	 7.07044364 
17.30   	 1.01480008  	 7.10344289 
17.40   	 1.01593311  	 7.12732522 
17.50   	 1.01709740  	 7.14227573 
17.60   	 1.01823266  	 7.14874654 
17.70   	 1.01927183  	 7.14724086 
17.80   	 1.02015064  	 7.13820273 
17.90   	 1.02081370  	 7.12200042 
18.00   	 1.02122106  	 7.09893598 
18.10   	 1.02135007  	 7.06928244 
18.20   	 1.02119842  	 7.03331493 
18.30   	 1.02078118  	 6.99139505 
18.40   	 1.02013324  	 6.94418910 
18.50   	 1.01932262  	 6.89317017 
18.60   	 1.01843588  	 6.84043383 
18.70   	 1.01754108  	 6.78760286 
18.80   	 1.01668733  	 6.73591578 
18.90   	 1.01591396  	 6.68652337 
